숫자|기수|서수|서수(단위용)|다이얼(공)|다이얼(영)
8124|팔천 백 이십 사|팔천 백 스물 넷|팔천 백 스물 네|팔일이사|팔일이사
8125|팔천 백 이십 오|팔천 백 스물 다섯|팔천 백 스물 다섯|팔일이오|팔일이오
8126|팔천 백 이십 육|팔천 백 스물 여섯|팔천 백 스물 여섯|팔일이육|팔일이육
8127|팔천 백 이십 칠|팔천 백 스물 일곱|팔천 백 스물 일곱|팔일이칠|팔일이칠
8128|팔천 백 이십 팔|팔천 백 스물 여덟|팔천 백 스물 여덟|팔일이팔|팔일이팔
8129|팔천 백 이십 구|팔천 백 스물 아홉|팔천 백 스물 아홉|팔일이구|팔일이구
8130|팔천 백 삼십|팔천 백 서른|팔천 백 서른|팔일삼공|팔일삼영
8131|팔천 백 삼십 일|팔천 백 서른 하나|팔천 백 서른 한|팔일삼일|팔일삼일
8132|팔천 백 삼십 이|팔천 백 서른 둘|팔천 백 서른 두|팔일삼이|팔일삼이
8133|팔천 백 삼십 삼|팔천 백 서른 셋|팔천 백 서른 세|팔일삼삼|팔일삼삼
8134|팔천 백 삼십 사|팔천 백 서른 넷|팔천 백 서른 네|팔일삼사|팔일삼사
8135|팔천 백 삼십 오|팔천 백 서른 다섯|팔천 백 서른 다섯|팔일삼오|팔일삼오
8136|팔천 백 삼십 육|팔천 백 서른 여섯|팔천 백 서른 여섯|팔일삼육|팔일삼육
8137|팔천 백 삼십 칠|팔천 백 서른 일곱|팔천 백 서른 일곱|팔일삼칠|팔일삼칠
8138|팔천 백 삼십 팔|팔천 백 서른 여덟|팔천 백 서른 여덟|팔일삼팔|팔일삼팔
8139|팔천 백 삼십 구|팔천 백 서른 아홉|팔천 백 서른 아홉|팔일삼구|팔일삼구
8140|팔천 백 사십|팔천 백 마흔|팔천 백 마흔|팔일사공|팔일사영
8141|팔천 백 사십 일|팔천 백 마흔 하나|팔천 백 마흔 한|팔일사일|팔일사일
8142|팔천 백 사십 이|팔천 백 마흔 둘|팔천 백 마흔 두|팔일사이|팔일사이
8143|팔천 백 사십 삼|팔천 백 마흔 셋|팔천 백 마흔 세|팔일사삼|팔일사삼
8144|팔천 백 사십 사|팔천 백 마흔 넷|팔천 백 마흔 네|팔일사사|팔일사사
8145|팔천 백 사십 오|팔천 백 마흔 다섯|팔천 백 마흔 다섯|팔일사오|팔일사오
8146|팔천 백 사십 육|팔천 백 마흔 여섯|팔천 백 마흔 여섯|팔일사육|팔일사육
8147|팔천 백 사십 칠|팔천 백 마흔 일곱|팔천 백 마흔 일곱|팔일사칠|팔일사칠
8148|팔천 백 사십 팔|팔천 백 마흔 여덟|팔천 백 마흔 여덟|팔일사팔|팔일사팔
8149|팔천 백 사십 구|팔천 백 마흔 아홉|팔천 백 마흔 아홉|팔일사구|팔일사구
8150|팔천 백 오십|팔천 백 쉰|팔천 백 쉰|팔일오공|팔일오영
8151|팔천 백 오십 일|팔천 백 쉰 하나|팔천 백 쉰 한|팔일오일|팔일오일
8152|팔천 백 오십 이|팔천 백 쉰 둘|팔천 백 쉰 두|팔일오이|팔일오이
8153|팔천 백 오십 삼|팔천 백 쉰 셋|팔천 백 쉰 세|팔일오삼|팔일오삼
8154|팔천 백 오십 사|팔천 백 쉰 넷|팔천 백 쉰 네|팔일오사|팔일오사
8155|팔천 백 오십 오|팔천 백 쉰 다섯|팔천 백 쉰 다섯|팔일오오|팔일오오
8156|팔천 백 오십 육|팔천 백 쉰 여섯|팔천 백 쉰 여섯|팔일오육|팔일오육
8157|팔천 백 오십 칠|팔천 백 쉰 일곱|팔천 백 쉰 일곱|팔일오칠|팔일오칠
8158|팔천 백 오십 팔|팔천 백 쉰 여덟|팔천 백 쉰 여덟|팔일오팔|팔일오팔
8159|팔천 백 오십 구|팔천 백 쉰 아홉|팔천 백 쉰 아홉|팔일오구|팔일오구
8160|팔천 백 육십|팔천 백 예순|팔천 백 예순|팔일육공|팔일육영
8161|팔천 백 육십 일|팔천 백 예순 하나|팔천 백 예순 한|팔일육일|팔일육일
8162|팔천 백 육십 이|팔천 백 예순 둘|팔천 백 예순 두|팔일육이|팔일육이
8163|팔천 백 육십 삼|팔천 백 예순 셋|팔천 백 예순 세|팔일육삼|팔일육삼
8164|팔천 백 육십 사|팔천 백 예순 넷|팔천 백 예순 네|팔일육사|팔일육사
8165|팔천 백 육십 오|팔천 백 예순 다섯|팔천 백 예순 다섯|팔일육오|팔일육오
8166|팔천 백 육십 육|팔천 백 예순 여섯|팔천 백 예순 여섯|팔일육육|팔일육육
8167|팔천 백 육십 칠|팔천 백 예순 일곱|팔천 백 예순 일곱|팔일육칠|팔일육칠
8168|팔천 백 육십 팔|팔천 백 예순 여덟|팔천 백 예순 여덟|팔일육팔|팔일육팔
8169|팔천 백 육십 구|팔천 백 예순 아홉|팔천 백 예순 아홉|팔일육구|팔일육구
8170|팔천 백 칠십|팔천 백 일흔|팔천 백 일흔|팔일칠공|팔일칠영
8171|팔천 백 칠십 일|팔천 백 일흔 하나|팔천 백 일흔 한|팔일칠일|팔일칠일
8172|팔천 백 칠십 이|팔천 백 일흔 둘|팔천 백 일흔 두|팔일칠이|팔일칠이
8173|팔천 백 칠십 삼|팔천 백 일흔 셋|팔천 백 일흔 세|팔일칠삼|팔일칠삼
8174|팔천 백 칠십 사|팔천 백 일흔 넷|팔천 백 일흔 네|팔일칠사|팔일칠사
8175|팔천 백 칠십 오|팔천 백 일흔 다섯|팔천 백 일흔 다섯|팔일칠오|팔일칠오
8176|팔천 백 칠십 육|팔천 백 일흔 여섯|팔천 백 일흔 여섯|팔일칠육|팔일칠육
8177|팔천 백 칠십 칠|팔천 백 일흔 일곱|팔천 백 일흔 일곱|팔일칠칠|팔일칠칠
8178|팔천 백 칠십 팔|팔천 백 일흔 여덟|팔천 백 일흔 여덟|팔일칠팔|팔일칠팔
8179|팔천 백 칠십 구|팔천 백 일흔 아홉|팔천 백 일흔 아홉|팔일칠구|팔일칠구
8180|팔천 백 팔십|팔천 백 여든|팔천 백 여든|팔일팔공|팔일팔영
8181|팔천 백 팔십 일|팔천 백 여든 하나|팔천 백 여든 한|팔일팔일|팔일팔일
8182|팔천 백 팔십 이|팔천 백 여든 둘|팔천 백 여든 두|팔일팔이|팔일팔이
8183|팔천 백 팔십 삼|팔천 백 여든 셋|팔천 백 여든 세|팔일팔삼|팔일팔삼
8184|팔천 백 팔십 사|팔천 백 여든 넷|팔천 백 여든 네|팔일팔사|팔일팔사
8185|팔천 백 팔십 오|팔천 백 여든 다섯|팔천 백 여든 다섯|팔일팔오|팔일팔오
8186|팔천 백 팔십 육|팔천 백 여든 여섯|팔천 백 여든 여섯|팔일팔육|팔일팔육
8187|팔천 백 팔십 칠|팔천 백 여든 일곱|팔천 백 여든 일곱|팔일팔칠|팔일팔칠
8188|팔천 백 팔십 팔|팔천 백 여든 여덟|팔천 백 여든 여덟|팔일팔팔|팔일팔팔
8189|팔천 백 팔십 구|팔천 백 여든 아홉|팔천 백 여든 아홉|팔일팔구|팔일팔구
8190|팔천 백 구십|팔천 백 아흔|팔천 백 아흔|팔일구공|팔일구영
